handle,recipient,expiration,allocation_type,allocation_explanation
jack,xch1z4lpey8mwe7f246f2y6a8hkfm6797g0q9rrx437cvy27v7anfcmsxj0evh,1818752400,contributor,https://keybase.io/c_tech
catalyst,xch1ppwg2nm3qjk4jxh5lv2eg682nu7laqs7afj0drmx3c9c4myg5azq2yk2vt,1818752400,contributor,https://x.com/monkeyzoo
andreas,xch15m306sdcapz5l669p2xcv5s3lv96c3w4aghjuu6xhxerd6lt6y5s7gsvv0,1818752400,contributor,https://x.com/acevail_
circuit,xch1km3p4fu7pma0v3aadusk7qrtf4dgfsd28xmxd4pacsm2uj6wmgdq4dhcmc,1818752400,contributor,https://x.com/Circuit_DAO
nifengtz,xch1mq5l6v5cr8y7u9tljskxsuepcl95gegclhl7cmhq46t7kxfahv8q5jd5mq,1818752400,contributor,https://x.com/nifengtz
dns,xch1etp7k7mx5jmpm7vxf0uh7l4nl2vpgchkdznt0nk6m7ucc5lxsq5q7hsg83,1818752400,contributor,https://dexie.space/markets
stl,xch1suy98y3ty8dkanq4p7wg3hp8gr2eh602fkhnunz5psaj0ael7rhqcnp7n3,1818752400,contributor,https://x.com/SlowestTimelord
dig,xch1kxdp5hsu34e2ku8p4e6f3ap27dw8fvhjghxe88dcve8n77zwekhsemh66h,1818752400,contributor,https://x.com/digdotnet
digdotnet,xch1kxdp5hsu34e2ku8p4e6f3ap27dw8fvhjghxe88dcve8n77zwekhsemh66h,1818752400,contributor,https://x.com/digdotnet
don,xch1tjmpazqs9vnylc40ygw4xtq6e760nha3l8cw8kp3jx5rrq79krxqs5pg0g,1818752400,contributor,https://x.com/Dkackman
pwn,xch10hgyszyyaef0r33cg7jm4jrjc2ltnkwqqdunxzy0e53xzff6gyss5aktz9,1818752400,contributor,https://x.com/MikeGropp
twic,xch1uurqc3z4cwez9u64t42l2y0akdkn0gwrsgdhnysesclhevemjvkqmamt5c,1818752400,contributor,https://x.com/steppsr
clyde,xch14pu6qr7uh5yvmwelzfp0lxte64lcjyktm2yx6wscuc356ylq64xspgtywk,1818752400,contributor,https://x.com/ClydeWallace22
timp,xch1dn2rzyqzpw240m79w3a6t87pwghdpwzc9e0t45fvg9xfx38g4qfqc2vg7q,1818752400,contributor,https://docs.warp.green/#who-are-the-validators